no,company_name(Required),website_address,Companynumber(Add second phone number after semicolon),Companyemail(Add second email  after semicolon),vendor_type,industry,type_business,Client_Salutation_Name,Client_First_Name(Required),Client_Last_Name,Linkedin URL,Client_Designation,Client_Phone(Add second phone number after semicolon),Client_Phone_Type(Add second phone type after semicolon),Client_Mail(Add second email after semicolon),Client_Email_Type(Add second email type after semicolon),house_no,street_name,"address_line_2(Don't use comma(,) in any column)",City/County,State,Country,zip_code,time_zone,fax_no,link_address
113,Peace ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
114,Petroleos ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
115,Petroleos ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
116,Willis ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
117,Willis ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
118,Willis ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
119,Wacoal ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
120,Wacoal ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
121,Wharf  ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
122,Wharf  ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
123,Wharf  ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
124,Vodafone ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
125,Vodafone ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
