No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone
82,MokiDesigns,,7073263790,Landline;Mobile,moki@mokidesigns.com,Work,,,Printing service,,Mrs.,Nanette,Rose Spitzer,,,7079879206;7078097069,,,,17958,Deer Hill Rd,,Hidden Valley Lake,CA,USA,95467,PST
83,Qualitees Screen Printing,http://www.qualitees-screenprint.com/,5306697845,Landline;Mobile,qualitees@sbcglobal.net,Other,5306697847,,Screen Printing;Embroidery;Promotional Product,,Mr.,Toni,Lampman,,Owner,,,,,622,Cottonwood St,,Woodland,CA,USA,95695,PST
84,Silkshop Screen Printing,https://www.silkshopprinting.com/,5307150299,Landline,silkshop@silkshopscreenprinting.com,,,,Screen Printing,,Mr.,Nicolas,Johnson,,Principal,,,,,2290,Ivy St #110,,Chico,CA,USA,95928,PST
85,Positive Print,https://www.positiveprintgraphics.com/,5303456168,,positiveprint@att.net,Other,,,ScreenPrinting;GraphicDesign,,Mr.,Darrel,Murphy,,Owner,,,,,1354,Longfellow Ave,,Chico,CA,USA,95926,PST
86,The Sports Shop,,9166859850,,,,,,,,Mr.,Flynn,Beck,,Principal,,,,,9675,Elk Grove Florin Rd,,Elk Grove,CA,USA,95624,PST
87,Robinson Custom Designs - RCD,http://robinsoncustomdesigns.com/,5309198531,Landline,jrcustomdesigns@hotmail.com,Other,,,Screen Printing;Embroidery,,Mr.,Jake,R.,,Owner,,,jakercd530@gmail.com,Home,3927,Missouri Flat Rd,,Placerville,CA,USA,95667,PST
88,Full Circle Ink Tees LLC,https://fullcircleinktees.com/,9168893279,Mobile,fullcircleinktees@gmail.com;info@fullcircleinktees.com,Other,,,Screen Printing;Embroidery,,Mr.,Elysha,Lopez,https://www.linkedin.com/in/elyshalopez,Owner,,,,,3045,65th St Ste 3,,Sacramento,CA,USA,95820,PST
89,San Andreas Print Shop,http://www.sanandreasprintshop.com,2097541500,Landline,lisasaps@comcast.net,Other,2097541526,,,,Mrs.,Lisa,Mobley,,Co-Owner,,,,,45,E St Charles St Suite A,,San Andreas,CA,USA,95249,PST
90,Astle Screen Printing,http://astlescreenprint.com,9163645646,Mobile,tshirts@pacbell.net;astlescreenprinting@pacbell.net,Work;Other,9163688704,,Screen Printing;Embroidery,,Mrs.,Kellie,Astle,https://www.linkedin.com/in/kellie-astle-screen-printing-b5822134,Owner,,,,,3919,Kristi Ct,,Sacramento,CA,USA,95827,PST
91,Black Hawk Apparel,https://www.blackhawkapparel.com/,9166353595,Mobile,blkhwk@att.net,Other,9166353597,,Screen Printing;Embroidery,,Mrs.,Barry,McCarron,https://www.linkedin.com/in/barry-mccarron-35962621,President,,,,,11265,Sunrise Gold Cir # A,,Rancho Cordova,CA,USA,95742,PST
92,Grapevine Apparel,http://grapevineapparel.com,9163585074,Mobile,sales@grapevineapparel.com,Work,,,Screen Printing;Embroidery,,Mrs.,Alisha,Nuno,,Principal,,,,,5151,Golden Foothill Pkwy Suite 100,,El Dorado Hills,CA,USA,95762,PST
93,Endless Possibili-Tees,http://eptees.com/,9163889344,Mobile,,,,,Screen Printing;Embroidery,,Mr.,Edmond,Masson,,Owner,,,e.masson@eptees.com,Work,5430,Florin Perkins Rd,,Sacramento,CA,USA,95826,PST
,Endless Possibili-Tees,,,,,,,,,,Mrs.,Kenneth,Oros,,Owner,,,eptees@sbcglobal.net,Work,,,,,,,,
94,KonocTees,https://www.konoctees.com/,7072794050,Mobile,Sales@konoctees.com,Work,7072794058,,Screen Printing;Embroidery,,Mrs.,Jennifer,Gayda,,Customer Service,,,,,3897,Main St,,Kelseyville,CA,USA,95451,PST
,KonocTees,,,,,,,,,,Mr.,Kyle,Houde,,Production Manager,,,,,,,,,,,,
,KonocTees,,,,,,,,,,Mr.,Anthony,Sandoval,,Production,,,,,,,,,,,,
,KonocTees,,,,,,,,,,Mr.,Nick,Lam,,Production,,,,,,,,,,,,
,KonocTees,,,,,,,,,,Mrs.,Julie,Kelley,,Outside Sales,,,,,,,,,,,,
95,The Printed Image,,5308989525;5308930495,Landline;Mobile,ssmith@printed-image.com;scott@printedimagechico.com;info@printedimagechico.com,Work;Other,,,Screen Printing;Embroidery;Promotional Product,,Mr.,Krystle,King,,Sales,,,krystle@printedimagechico.com,,2209,Park Ave,,Chico,CA,USA,95928,PST
,The Printed Image,,,,,,,,,,Mr.,Andy,Lipkin,,Sales,,,andy@printedimagechico.com,,,,,,,,,
,The Printed Image,,,,,,,,,,Mr.,Charlotte,Stephens,,Sales,,,charlotte@printedimagechico.com,,,,,,,,,
,The Printed Image,,,,,,,,,,Mr.,Isaac,Hernandez,,Sales,,,isaac@printedimagechico.com,,,,,,,,,
96,Upper Park Printing,https://www.upperparkprinting.com,5307742492,Landline,info@upperparkprinting.com,Work,,,Screen Printing;Embroidery;Custom Design,,Mrs.,Jaime,,,,,,jaime@upperparkprinting.com,,808,Cherry St #120,,Chico,CA,USA,95928,PST
97,InstaShirt - Phamily Graphics,https://instashirt.com,8777426459;5308090433;2022242628,Landline;Mobile,orders@instashirt.com,Work,,,Screen Printing;Embroidery,,Mr.,Joe,,,Owner,,,,,805,W 12th Ave,,Chico,CA,USA,95926,PST
98,The Independent Press,,5306364631,Landline,admin@chicoindependentpress.com,Work,,,Screen Printing;Embroidery,,Mrs.,Marcel,Mitchell,,Principal,,,,,2704,Hegan Ln #152,,Chico,CA,USA,95928,PST
99,Dragon Graphics,https://dgprints.com,5308799666,Landline,,,,,Screen Printing;Embroidery;Custom Design,,Mr.,Jeff Baylor,Owner,https://www.linkedin.com/in/jeff-baylor-19082610,,,,jeff@dgprints.com,Work,1465,Mangrove Ave # B,,Chico,CA,USA,95926,PST
,Dragon Graphics,,,,,,,,,,Mrs.,Jermey Taylor,Manager,,,,,,,,,,,,,,
100,InkLab Printing,,5302377139,Landline,sales@inklabprinting.com;sales@inklabmedia.com,Work,,,Screen Printing;Embroidery,,Mrs.,Michael,S.,,Owner,,,,,1695,Sierra Ave suite a,,Yuba City,CA,USA,95993,PST
